SZ: 10	MS: 0.06666666666666667	QS: 0.1	AS: 0.1
SZ: 100	MS: 0.23333333333333334	QS: 0.2	AS: 0.16666666666666666
SZ: 1000	MS: 2.1666666666666665	QS: 1.4666666666666666	AS: 2.2333333333333334
SZ: 10000	MS: 12.133333333333333	QS: 12.166666666666666	AS: 14.866666666666667
SZ: 100000	MS: 146.46666666666667	QS: 158.96666666666667	AS: 149.43333333333334
SZ: 1000000	MS: 2042.2333333333333	QS: 2114.6666666666665	AS: 1932.9666666666667
SZ: 10000000	MS: 31209.166666666668	QS: 32021.066666666666	AS: 27900.466666666667
