SZ: 10	MS: 0.1	QS: 0.13333333333333333	AS: 0.2
SZ: 100	MS: 0.43333333333333335	QS: 0.9666666666666667	AS: 0.3
SZ: 1000	MS: 1.6333333333333333	QS: 1.2333333333333334	AS: 1.5333333333333334
SZ: 10000	MS: 10.1	QS: 10.933333333333334	AS: 13.7
SZ: 100000	MS: 149.23333333333332	QS: 153.3	AS: 146.03333333333333
SZ: 1000000	MS: 1931.6666666666667	QS: 2016.0	AS: 1835.8666666666666
SZ: 10000000	MS: 34917.53333333333	QS: 33879.4	AS: 29542.266666666666
