SZ: 10	MS: 0.1	QS: 0.06666666666666667	AS: 0.03333333333333333
SZ: 100	MS: 0.26666666666666666	QS: 0.16666666666666666	AS: 0.26666666666666666
SZ: 1000	MS: 1.4333333333333333	QS: 1.2	AS: 1.2
SZ: 10000	MS: 9.4	QS: 10.266666666666667	AS: 13.4
SZ: 100000	MS: 137.26666666666668	QS: 168.76666666666668	AS: 141.96666666666667
SZ: 1000000	MS: 1820.3333333333333	QS: 2023.5333333333333	AS: 1773.2
SZ: 10000000	MS: 32617.166666666668	QS: 31801.633333333335	AS: 26721.133333333335
